Namespace(gpu='0,1,2,3', log_dir='/cluster/home/wueestm/laser/trained_models', its=900000, fov=(45.0, 135.0), fov2='45,135', dataset='zind', dataset_path='/cluster/project/cvg/data/zind/zind/ZInD', D=128, G=32, H=32, dist_max=10, V=16, Vr=64, disable_semantics=False, disable_pointnet=False)
{'Q': 100, 'Q_refine': 20, 'D': 128, 'G': 32, 'H': 32, 'dist_max': 10, 'Vr': 64, 'V': 16, 'disable_semantics': False, 'disable_pointnet': False, 'fov': (45.0, 135.0), 'view_type': 'pview'}
/cluster/project/cvg/data/zind/zind/ZInD
refiner_padding = circular
Before loading train dataloader.
654 samples loaded from <class 'dataset.zind_dataset.ZindDataset'> dataset. (is_training=True)
Before loading val dataloader.
91 samples loaded from <class 'dataset.zind_dataset.ZindDataset'> dataset. (is_training=False)
Dataloaders loaded.
step=90000,  time=891.9min,  loss=1.136606
step=90200,  time=893.9min,  loss=0.980110
step=90400,  time=895.9min,  loss=0.954226
step=90600,  time=897.9min,  loss=1.117069
step=90800,  time=899.8min,  loss=0.810836
step=91000,  time=901.8min,  loss=0.827246
step=91200,  time=903.8min,  loss=0.841114
step=91400,  time=905.8min,  loss=0.812288
step=91600,  time=907.7min,  loss=1.181604
step=91800,  time=909.8min,  loss=0.784675
step=92000,  time=911.7min,  loss=1.060317
step=92200,  time=913.7min,  loss=0.858732
step=92400,  time=915.7min,  loss=0.844221
step=92600,  time=917.7min,  loss=0.813313
step=92800,  time=919.7min,  loss=0.892086
step=93000,  time=921.7min,  loss=0.814682
step=93200,  time=923.6min,  loss=1.032049
step=93400,  time=925.6min,  loss=0.910794
step=93600,  time=927.6min,  loss=1.122695
step=93800,  time=929.6min,  loss=1.206957
step=94000,  time=931.6min,  loss=0.848919
step=94200,  time=933.5min,  loss=0.807686
step=94400,  time=935.5min,  loss=0.815655
step=94600,  time=937.5min,  loss=0.983237
step=94800,  time=939.5min,  loss=0.845423
step=95000,  time=941.4min,  loss=0.871233
step=95200,  time=943.4min,  loss=0.880339
step=95400,  time=945.4min,  loss=0.771284
step=95600,  time=947.4min,  loss=0.864555
step=95800,  time=949.4min,  loss=1.095670
step=96000,  time=951.4min,  loss=0.973576
step=96200,  time=953.3min,  loss=0.890504
step=96400,  time=955.3min,  loss=0.937001
step=96600,  time=957.3min,  loss=0.886457
step=96800,  time=959.3min,  loss=0.934609
step=97000,  time=961.2min,  loss=0.810964
step=97200,  time=963.2min,  loss=0.934749
step=97400,  time=965.2min,  loss=0.875530
step=97600,  time=967.2min,  loss=0.836985
step=97800,  time=969.2min,  loss=0.813249
step=98000,  time=971.1min,  loss=0.911361
step=98200,  time=973.2min,  loss=0.899109
step=98400,  time=975.1min,  loss=1.109048
step=98600,  time=977.1min,  loss=0.979658
step=98800,  time=979.1min,  loss=0.831377
step=99000,  time=981.1min,  loss=0.794842
step=99200,  time=983.0min,  loss=0.784759
step=99400,  time=985.1min,  loss=0.901130
step=99600,  time=987.0min,  loss=0.799255
step=99800,  time=989.0min,  loss=0.799295
step=100000,  time=991.0min,  loss=1.049607
Model ckpt saved.
step=100200,  time=993.0min,  loss=0.874124
step=100400,  time=995.0min,  loss=0.896690
step=100600,  time=996.9min,  loss=0.860372
step=100800,  time=998.9min,  loss=0.906571
step=101000,  time=1000.9min,  loss=0.894255
step=101200,  time=1002.9min,  loss=0.927379
step=101400,  time=1004.8min,  loss=0.867264
step=101600,  time=1006.8min,  loss=0.797545
step=101800,  time=1008.8min,  loss=1.352886
step=102000,  time=1010.8min,  loss=0.854679
step=102200,  time=1012.7min,  loss=0.738671
step=102400,  time=1014.7min,  loss=0.991952
step=102600,  time=1016.7min,  loss=1.053001
step=102800,  time=1018.7min,  loss=0.855478
step=103000,  time=1020.7min,  loss=0.830808
